freq_hz,period_s,power_ms2hz,tier
5.74105131e-05,1.7418e+04,1.233718e+08,circadian
5.75350438e-05,1.7381e+04,1.244200e+08,circadian
5.76595745e-05,1.7343e+04,1.253580e+08,circadian
5.77841051e-05,1.7306e+04,1.261860e+08,circadian
5.79086358e-05,1.7269e+04,1.269049e+08,circadian
5.80331665e-05,1.7232e+04,1.275162e+08,circadian
5.81576971e-05,1.7195e+04,1.280222e+08,circadian
5.82822278e-05,1.7158e+04,1.284261e+08,circadian
5.84067584e-05,1.7121e+04,1.287316e+08,circadian
5.85312891e-05,1.7085e+04,1.289428e+08,circadian
5.86558198e-05,1.7049e+04,1.290646e+08,circadian
5.87803504e-05,1.7012e+04,1.291022e+08,circadian
5.89048811e-05,1.6977e+04,1.290613e+08,circadian
5.90294118e-05,1.6941e+04,1.289475e+08,circadian
5.91539424e-05,1.6905e+04,1.287669e+08,circadian
5.92784731e-05,1.6870e+04,1.285256e+08,circadian
5.94030038e-05,1.6834e+04,1.282296e+08,circadian
5.95275344e-05,1.6799e+04,1.278849e+08,circadian
5.96520651e-05,1.6764e+04,1.274971e+08,circadian
5.97765957e-05,1.6729e+04,1.270717e+08,circadian
5.99011264e-05,1.6694e+04,1.266138e+08,circadian
6.00256571e-05,1.6660e+04,1.261280e+08,circadian
