ts,STAGE,datetime,stage_label,datetime_local
1734173160,4,2024-12-14 10:46:00,Deep,2024-12-14 11:46
1734173220,3,2024-12-14 10:47:00,Light,2024-12-14 11:47
1734173340,3,2024-12-14 10:49:00,Light,2024-12-14 11:49
1734173460,3,2024-12-14 10:51:00,Light,2024-12-14 11:51
1734173520,4,2024-12-14 10:52:00,Deep,2024-12-14 11:52
1734173580,4,2024-12-14 10:53:00,Deep,2024-12-14 11:53
1734173640,4,2024-12-14 10:54:00,Deep,2024-12-14 11:54
1734173700,4,2024-12-14 10:55:00,Deep,2024-12-14 11:55
1734173880,4,2024-12-14 10:58:00,Deep,2024-12-14 11:58
1734174060,3,2024-12-14 11:01:00,Light,2024-12-14 12:01
1734174360,4,2024-12-14 11:06:00,Deep,2024-12-14 12:06
1734174420,3,2024-12-14 11:07:00,Light,2024-12-14 12:07
1734174480,3,2024-12-14 11:08:00,Light,2024-12-14 12:08
1734174600,3,2024-12-14 11:10:00,Light,2024-12-14 12:10
1734174660,3,2024-12-14 11:11:00,Light,2024-12-14 12:11
1734174840,3,2024-12-14 11:14:00,Light,2024-12-14 12:14
1734174960,2,2024-12-14 11:16:00,REM,2024-12-14 12:16
1734175500,3,2024-12-14 11:25:00,Light,2024-12-14 12:25
1734175560,4,2024-12-14 11:26:00,Deep,2024-12-14 12:26
1734175740,3,2024-12-14 11:29:00,Light,2024-12-14 12:29
1734175800,5,2024-12-14 11:30:00,Awake,2024-12-14 12:30
1734176160,3,2024-12-14 11:36:00,Light,2024-12-14 12:36
1734176880,4,2024-12-14 11:48:00,Deep,2024-12-14 12:48
1734177360,3,2024-12-14 11:56:00,Light,2024-12-14 12:56
1734177540,3,2024-12-14 11:59:00,Light,2024-12-14 12:59
1734177720,3,2024-12-14 12:02:00,Light,2024-12-14 13:02
1734177840,4,2024-12-14 12:04:00,Deep,2024-12-14 13:04
1734177900,3,2024-12-14 12:05:00,Light,2024-12-14 13:05
1734177960,4,2024-12-14 12:06:00,Deep,2024-12-14 13:06
1734178080,4,2024-12-14 12:08:00,Deep,2024-12-14 13:08
1734178260,3,2024-12-14 12:11:00,Light,2024-12-14 13:11
1734178320,5,2024-12-14 12:12:00,Awake,2024-12-14 13:12
1734181920,3,2024-12-14 13:12:00,Light,2024-12-14 14:12
1734182580,2,2024-12-14 13:23:00,REM,2024-12-14 14:23
1734183300,4,2024-12-14 13:35:00,Deep,2024-12-14 14:35
1734183540,2,2024-12-14 13:39:00,REM,2024-12-14 14:39
1734183900,4,2024-12-14 13:45:00,Deep,2024-12-14 14:45
1734184140,4,2024-12-14 13:49:00,Deep,2024-12-14 14:49
1734184620,3,2024-12-14 13:57:00,Light,2024-12-14 14:57
1734184680,3,2024-12-14 13:58:00,Light,2024-12-14 14:58
1734184740,3,2024-12-14 13:59:00,Light,2024-12-14 14:59
1734184980,3,2024-12-14 14:03:00,Light,2024-12-14 15:03
1734185220,5,2024-12-14 14:07:00,Awake,2024-12-14 15:07
